STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,36352,0,2090
1,AL,36353,0,830
1,AL,36360,0,7730
1,AL,36362,0,1560
1,AL,36370,0,400
1,AL,36373,0,210
1,AL,36374,0,480
1,AL,36375,0,2750
1,AL,36376,0,880
1,AL,36401,0,2810
1,AL,36420,0,4550
1,AL,36421,0,3540
1,AL,36425,0,360
1,AL,36426,0,5730
1,AL,36432,0,970
1,AL,36435,0,200
1,AL,36436,0,190
1,AL,36441,0,1420
1,AL,36442,0,1130
1,AL,36444,0,220
1,AL,36445,0,1570
1,AL,36451,0,1910
1,AL,36453,0,870
1,AL,36456,0,720
1,AL,36460,0,3300
1,AL,36467,0,3780
1,AL,36471,0,390
1,AL,36474,0,1120
1,AL,36475,0,720
1,AL,36477,0,1700
1,AL,36480,0,700
1,AL,36481,0,110
1,AL,36482,0,400
1,AL,36483,0,170
1,AL,36502,0,6170
1,AL,36505,0,620
1,AL,36507,0,7930
1,AL,36509,0,830
1,AL,36511,0,420
1,AL,36518,0,1060
1,AL,36521,0,1970
1,AL,36522,0,2830
1,AL,36523,0,1060
1,AL,36524,0,420
1,AL,36525,0,820
1,AL,36526,0,14640
1,AL,36527,0,6160
1,AL,36528,0,680
1,AL,36529,0,240
1,AL,36530,0,3270
1,AL,36532,0,13420
1,AL,36535,0,12140
1,AL,36538,0,150
1,AL,36539,0,270
1,AL,36540,0,370
1,AL,36541,0,5850
1,AL,36542,0,6040
1,AL,36544,0,4490
1,AL,36545,0,3720
1,AL,36548,0,490
1,AL,36549,0,2140
1,AL,36551,0,3750
1,AL,36553,0,1280
1,AL,36555,0,570
1,AL,36558,0,1330
1,AL,36560,0,1380
1,AL,36561,0,3790
1,AL,36562,0,730
1,AL,36567,0,5740
1,AL,36569,0,310
1,AL,36571,0,6840
1,AL,36572,0,2920
1,AL,36574,0,560
1,AL,36575,0,8420
1,AL,36576,0,1870
1,AL,36578,0,820
1,AL,36579,0,730
1,AL,36580,0,2410
1,AL,36582,0,10010
1,AL,36583,0,240
1,AL,36584,0,270
1,AL,36585,0,380
1,AL,36587,0,4140
1,AL,36602,0,460
1,AL,36603,0,2590
1,AL,36604,0,4020
1,AL,36605,0,11400
1,AL,36606,0,8360
1,AL,36607,0,2730
1,AL,36608,0,15480
1,AL,36609,0,10720
1,AL,36610,0,4420
1,AL,36611,0,2360
1,AL,36612,0,1750
1,AL,36613,0,4860
1,AL,36617,0,5540
1,AL,36618,0,7660
1,AL,36619,0,6330
1,AL,36693,0,8730
1,AL,36695,0,21450
1,AL,36701,0,9020
1,AL,36703,0,4410
1,AL,36720,0,320
1,AL,36722,0,150
1,AL,36726,0,1840
1,AL,36728,0,270
1,AL,36732,0,3490
1,AL,36736,0,500
1,AL,36738,0,370
1,AL,36740,0,480
1,AL,36742,0,940
1,AL,36744,0,2620
